Campaign,Date,City/Location,Latitude,Longitude,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments,Concatenated value
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Collection,2199,0.009000000000000001,19.791000000000004,0.24000000000000005,4.749840000000002,1,167,68,6,7,Fall-Manchester-Collection
Fall,2023-09-01 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Discount,2176,0.008299999999999998,18.060799999999997,0.5899999999999997,10.655871999999993,4,287,62,9,1,Fall-Manchester-Discount
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,2138,0.0125,26.725,1.0234999999999999,27.3530375,0,93.408,73,19,9,Fall-Birmingham-Collection
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1939,0.0102,19.777800000000003,1.1614999999999998,22.9719147,4,223.104,96,6,10.5,Fall-Birmingham-Discount
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,3145,0.010900000000000002,34.2805,1.0399999999999998,35.65172,0,99.67999999999999,84,24,6,Fall-Birmingham-Collection
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,2662,0.0131,34.8722,1.04,36.267088,5,93.52,127,27,6,Fall-Birmingham-Discount
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1347,0.014080000000000002,18.965760000000003,0.08050000000000004,1.5267436800000012,4,169.67999999999998,37,5,16.5,Fall-Birmingham-Collection
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,1198,0.01331,15.94538,2.2079999999999997,35.20739904,6,572.4,62,3,18,Fall-Birmingham-Discount
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2872,0.014190000000000003,40.75368000000001,0.8999999999999998,36.678312,2,43,91,18,2,Fall-Birmingham-Collection
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,1600,0.009900000000000003,15.840000000000003,2.07,32.7888,8,739,97,3,13,Fall-Birmingham-Discount
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1601,0.0142,22.7342,0.8049999999999996,18.30103099999999,4,134.4,64,3,9,Fall-Birmingham-Collection
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,1101,0.0148,16.294800000000002,0.4829999999999999,7.870388399999999,5,282,37,9,3,Fall-Birmingham-Discount
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,1364,0.007199999999999998,9.820799999999997,0.37999999999999995,3.7319039999999983,3,167,68,0,3,Fall-Birmingham-Collection
Fall,2023-09-02 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,2404,0.008499999999999997,20.433999999999994,0.6899999999999997,14.09945999999999,3,137,53,22,2,Fall-Birmingham-Discount
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,2383,0.022600000000000002,53.8558,1.5179999999999998,81.7531044,2,15.36,45,4,13.5,Fall-London-Collection
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,2328,0.014100000000000001,32.8248,0.7014999999999998,23.026597199999994,7,115.07999999999998,38,0,19.5,Fall-London-Discount
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,3303,0.014700000000000001,48.554100000000005,0.88,42.727608000000004,2,35.839999999999996,37,14,6,Fall-London-Collection
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,2484,0.0083,20.6172,1.5599999999999998,32.162831999999995,9,175.7,100,8,10,Fall-London-Discount
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,2402,0.016059999999999998,38.576119999999996,0.02300000000000005,0.8872507600000019,3,38.4,49,6,15,Fall-London-Collection
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,2067,0.016059999999999998,33.19602,1.702,56.499626039999995,7,393.59999999999997,91,21,22.5,Fall-London-Discount
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,2573,0.013640000000000003,35.09572000000001,0.45999999999999985,16.144031199999997,7,191.79999999999998,31,3,12,Fall-London-Collection
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,3024,0.01628,49.23072,0.54,26.584588800000002,4,225,104,28,4,Fall-London-Discount
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1571,0.0214,33.6194,1.1269999999999996,37.88906379999998,3,264,72,15,6,Fall-London-Collection
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,1081,0.013,14.052999999999999,0.4254999999999999,5.979551499999998,4,388.8,76,5,3,Fall-London-Discount
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,2955,0.0121,35.7555,0.4699999999999998,16.80508499999999,4,205,61,22,10,Fall-London-Collection
Fall,2023-09-02 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,1706,0.009600000000000001,16.3776,0.6299999999999998,10.317887999999996,2,74,64,22,3,Fall-London-Discount
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Collection,1753,0.016300000000000002,28.573900000000002,0.5405,15.44419295,4,138.432,29,3,13.5,Fall-Manchester-Collection
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Discount,1559,0.014199999999999999,22.1378,2.001,44.29773779999999,6,357.84,73,3,18,Fall-Manchester-Discount
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Collection,2567,0.0126,32.3442,0.91,29.433222,6,112,76,39,11,Fall-Manchester-Collection
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Discount,2997,0.014100000000000001,42.25770000000001,1.0200000000000002,43.102854000000015,5,123.89999999999999,112,2,3,Fall-Manchester-Discount
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Collection,1993,0.019030000000000005,37.92679000000001,0.011500000000000008,0.4361580850000005,6,251.15999999999997,57,3,12,Fall-Manchester-Collection
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Discount,913,0.0132,12.0516,1.8974999999999997,22.867911,8,445.2,103,14,16.5,Fall-Manchester-Discount
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Collection,2098,0.015180000000000003,31.847640000000006,1.1799999999999997,37.5802152,7,270.2,32,0,6,Fall-Manchester-Collection
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Discount,1550,0.011990000000000002,18.584500000000002,1.65,30.664425,9,766,97,20,9,Fall-Manchester-Discount
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Collection,1470,0.015700000000000002,23.079000000000004,1.3454999999999995,31.052794499999994,8,427.2,42,8,12,Fall-Manchester-Collection
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Discount,1504,0.011799999999999998,17.747199999999996,0.5979999999999998,10.612825599999994,5,393.59999999999997,38,17,6,Fall-Manchester-Discount
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Collection,2255,0.012,27.060000000000002,0.8999999999999997,24.353999999999992,2,81,95,21,2,Fall-Manchester-Collection
Fall,2023-09-02 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Discount,1831,0.0078000000000000005,14.2818,1.1199999999999999,15.995615999999998,2,205,76,3,11,Fall-Manchester-Discount
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1448,0.0182,26.3536,0.37949999999999995,10.0011912,1,92.064,74,21,3,Fall-Birmingham-Collection
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1725,0.012399999999999998,21.389999999999997,2.3459999999999996,50.180939999999985,5,161.27999999999997,107,17,1.5,Fall-Birmingham-Discount
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,2160,0.0115,24.84,1.33,33.0372,0,327.59999999999997,46,33,9,Fall-Birmingham-Collection
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,2182,0.0094,20.5108,1.8000000000000003,36.91944,4,114.24000000000001,131,12,6,Fall-Birmingham-Discount
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1439,0.01782,25.642979999999998,1.3684999999999996,35.092418129999984,4,42,30,14,9,Fall-Birmingham-Collection
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,987,0.01287,12.702689999999999,2.4724999999999997,31.40740102499999,4,202.79999999999998,52,4,6,Fall-Birmingham-Discount
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2365,0.01518,35.9007,0.1900000000000001,6.821133000000004,2,37.099999999999994,48,22,13,Fall-Birmingham-Collection
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,2258,0.00957,21.60906,1.88,40.6250328,8,599,72,2,8,Fall-Birmingham-Discount
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1379,0.010900000000000002,15.031100000000002,0.5519999999999997,8.297167199999997,6,192,61,14,6,Fall-Birmingham-Collection
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,703,0.014500000000000002,10.193500000000002,0.13800000000000004,1.4067030000000007,7,177.6,36,0,1.5,Fall-Birmingham-Discount
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,2005,0.0106,21.253,0.7399999999999998,15.727219999999996,6,443,12,12,0,Fall-Birmingham-Collection
Fall,2023-09-03 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,2254,0.008999999999999998,20.285999999999994,1.0499999999999998,21.30029999999999,3,269,36,20,2,Fall-Birmingham-Discount
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,2136,0.013600000000000001,29.0496,1.1039999999999999,32.070758399999995,3,54.72,8,7,12,Fall-London-Collection
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,1541,0.015899999999999997,24.501899999999996,0.5634999999999999,13.806820649999995,7,48,75,2,21,Fall-London-Discount
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,2816,0.0138,38.8608,0.6499999999999999,25.259519999999995,2,49.6,78,0,12,Fall-London-Collection
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,3196,0.007700000000000001,24.609200000000005,0.96,23.624832000000005,1,72.8,85,4,4,Fall-London-Discount
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,2028,0.020460000000000002,41.49288000000001,0.21850000000000008,9.066194280000005,6,348.59999999999997,24,1,9,Fall-London-Collection
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,2052,0.019360000000000002,39.72672000000001,2.3,91.37145600000001,4,445.2,124,10,21,Fall-London-Discount
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,1975,0.01518,29.980500000000003,0.4,11.992200000000002,6,80.5,18,8,14,Fall-London-Collection
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,3086,0.014520000000000002,44.80872000000001,1.24,55.56281280000001,2,213,130,28,10,Fall-London-Discount
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1702,0.014700000000000001,25.0194,1.0464999999999995,26.18280209999999,5,164.4,37,15,15,Fall-London-Collection
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,2006,0.013399999999999997,26.880399999999995,0.8049999999999996,21.638721999999984,4,325.2,55,6,6,Fall-London-Discount
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,3008,0.011100000000000002,33.3888,1.0499999999999998,35.05824,3,214,84,9,2,Fall-London-Collection
Fall,2023-09-03 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,1882,0.0072000000000000015,13.550400000000003,1.1199999999999999,15.176448000000002,4,202,94,9,5,Fall-London-Discount
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Collection,1664,0.019100000000000002,31.782400000000003,0.49449999999999994,15.7163968,3,88.704,76,22,7.5,Fall-Manchester-Collection
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Facebook,Desktop,Discount,1542,0.016,24.672,0.6325,15.605039999999999,4,140.27999999999997,63,4,4.5,Fall-Manchester-Discount
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Collection,2870,0.0138,39.606,0.53,20.991180000000004,2,240.24,79,20,8,Fall-Manchester-Collection
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Facebook,Mobile,Discount,2357,0.011100000000000002,26.162700000000005,0.6599999999999999,17.267382,1,207.89999999999998,73,12,7,Fall-Manchester-Discount
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Collection,1425,0.019030000000000005,27.117750000000008,0.5059999999999998,13.721581499999997,4,88.2,22,15,7.5,Fall-Manchester-Collection
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Instagram,Desktop,Discount,1777,0.01936,34.402719999999995,0.8855,30.463608559999994,5,511.2,99,19,15,Fall-Manchester-Discount
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Collection,2609,0.012540000000000006,32.71686000000002,0.3999999999999998,13.086744000000001,7,91.69999999999999,31,20,12,Fall-Manchester-Collection
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Instagram,Mobile,Discount,2054,0.011770000000000003,24.175580000000007,0.72,17.406417600000005,6,354,76,6,9,Fall-Manchester-Discount
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Collection,935,0.0137,12.8095,0.19550000000000003,2.50425725,5,292.8,46,3,6,Fall-Manchester-Collection
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Desktop,Discount,1066,0.013099999999999997,13.964599999999997,0.7129999999999996,9.956759799999993,9,625.1999999999999,58,18,7.5,Fall-Manchester-Discount
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Collection,2179,0.0073,15.9067,0.42999999999999994,6.839880999999999,3,205,84,10,4,Fall-Manchester-Collection
Fall,2023-09-03 00:00:00,Manchester,53.483959,-2.244644,Pinterest,Mobile,Discount,1928,0.0127,24.485599999999998,0.7099999999999997,17.38477599999999,5,243,95,16,4,Fall-Manchester-Discount
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1442,0.018600000000000002,26.8212,1.656,44.4159072,2,57.791999999999994,55,35,12,Fall-Birmingham-Collection
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Desktop,Discount,1305,0.0154,20.097,2.093,42.063021,5,141.792,73,13,7.5,Fall-Birmingham-Discount
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Collection,2818,0.010500000000000002,29.589000000000006,1.4599999999999997,43.19994,1,35.2,67,26,6,Fall-Birmingham-Collection
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Facebook,Mobile,Discount,1729,0.008400000000000001,14.523600000000002,2.06,29.918616000000004,0,125.99999999999999,97,16,5,Fall-Birmingham-Discount
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Collection,1743,0.02123,37.00389,0.4255,15.745155194999999,3,49.559999999999995,20,13,12,Fall-Birmingham-Collection
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Desktop,Discount,1057,0.01584,16.74288,1.7594999999999998,29.459097359999998,6,386.4,104,10,13.5,Fall-Birmingham-Discount
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Collection,2391,0.013750000000000002,32.876250000000006,0.20000000000000004,6.575250000000002,2,142.1,52,18,4,Fall-Birmingham-Collection
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Instagram,Mobile,Discount,2397,0.01155,27.68535,1.09,30.177031500000002,4,227,95,6,5,Fall-Birmingham-Discount
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Collection,1596,0.011499999999999998,18.353999999999996,0.011500000000000026,0.21107100000000042,6,450,28,16,7.5,Fall-Birmingham-Collection
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Desktop,Discount,1103,0.004499999999999998,4.963499999999998,0.5404999999999998,2.682771749999998,4,283.2,44,3,0,Fall-Birmingham-Discount
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Collection,2236,0.008300000000000002,18.558800000000005,0.060000000000000026,1.1135280000000007,3,220,74,6,4,Fall-Birmingham-Collection
Fall,2023-09-04 00:00:00,Birmingham,52.489471,-1.898575,Pinterest,Mobile,Discount,1592,0.009999999999999998,15.919999999999998,0.7899999999999998,12.576799999999995,2,150,53,15,5,Fall-Birmingham-Discount
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Collection,1833,0.021400000000000002,39.226200000000006,0.9084999999999999,35.6370027,5,65.856,57,7,10.5,Fall-London-Collection
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Facebook,Desktop,Discount,2108,0.0173,36.468399999999995,1.1960000000000002,43.6162064,4,390.59999999999997,33,7,10.5,Fall-London-Discount
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Collection,2546,0.013999999999999999,35.644,0.42000000000000004,14.97048,4,48.800000000000004,49,6,10,Fall-London-Collection
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Facebook,Mobile,Discount,2892,0.007500000000000001,21.69,1.52,32.9688,4,101.5,76,14,15,Fall-London-Discount
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Collection,1718,0.016610000000000003,28.535980000000006,0.9659999999999997,27.56575668,1,150.35999999999999,11,3,18,Fall-London-Collection
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Instagram,Desktop,Discount,1345,0.01342,18.0499,2.254,40.6844746,8,469.2,88,11,21,Fall-London-Discount
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Collection,2708,0.015510000000000003,42.00108000000001,0.24000000000000005,10.080259200000004,7,67.89999999999999,25,6,10,Fall-London-Collection
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Instagram,Mobile,Discount,2164,0.011770000000000003,25.470280000000006,1.28,32.60195840000001,4,270,110,27,7,Fall-London-Discount
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Collection,1773,0.0102,18.084600000000002,0.8049999999999996,14.558102999999994,3,52.8,39,2,3,Fall-London-Collection
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Pinterest,Desktop,Discount,958,0.011200000000000002,10.729600000000001,0.7589999999999997,8.143766399999997,4,296.4,40,10,15,Fall-London-Discount
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Collection,2571,0.0134,34.4514,1.0499999999999998,36.17396999999999,1,54,67,40,5,Fall-London-Collection
Fall,2023-09-04 00:00:00,London,51.50735,-0.12776,Pinterest,Mobile,Discount,2099,0.008800000000000002,18.471200000000003,1.1299999999999997,20.872455999999996,5,497,42,33,3,Fall-London-Discount
